ADM0_PCODE	ADM0_EN	ADM0_AR	ADM1_PCODE	ADM1_EN	ADM1_AR	Governorate_Code	Male	Female	Total
EG	Egypt	????	EG01	Cairo	???????	1	4453589	4308914	8762503
EG	Egypt	????	EG02	Alexandria	??????????	2	2302902	2205783	4508685
EG	Egypt	????	EG03	Port Said	???????	3	320033	308407	628440
EG	Egypt	????	EG04	Suez	??????	4	293562	282717	576279
EG	Egypt	????	EG11	Damietta	?????	11	634140	606044	1240184
EG	Egypt	????	EG12	Dakahlia	????????	12	2823434	2736264	5559698
EG	Egypt	????	EG13	Sharkia	???????	13	3082936	2927494	6010430
EG	Egypt	????	EG14	Kalyoubia	?????????	14	2445735	2308309	4754044
EG	Egypt	????	EG15	Kafr El-Shikh	??? ?????	15	1485843	1454187	2940030
EG	Egypt	????	EG16	Gharbia	???????	16	2250563	2187857	4438420
EG	Egypt	????	EG17	Menoufia	????????	17	1884199	1772640	3656839
EG	Egypt	????	EG18	Behera	???????	18	2731304	2596250	5327554
EG	Egypt	????	EG19	Ismailia	???????????	19	547800	528786	1076586
EG	Egypt	????	EG21	Giza	??????	21	3601273	3378402	6979675
EG	Egypt	????	EG22	Beni Suef	??? ????	22	1321606	1275027	2596633
EG	Egypt	????	EG23	Fayoum	??????	23	1489620	1392172	2881792
EG	Egypt	????	EG24	Menia	??????	24	2399555	2300803	4700358
EG	Egypt	????	EG25	Asyout	?????	25	1985296	1903012	3888308
EG	Egypt	????	EG26	Suhag	?????	26	2130823	2079828	4210651
EG	Egypt	????	EG27	Qena	???	27	1404705	1395668	2800373
EG	Egypt	????	EG28	Aswan	?????	28	665664	656651	1322315
EG	Egypt	????	EG29	Luxor	??????	29	542708	521415	1064123
EG	Egypt	????	EG31	Red Sea	????? ??????	31	194581	125741	320322
EG	Egypt	????	EG32	New Valley	?????? ??????	32	107080	101311	208391
EG	Egypt	????	EG33	Matrouh	?????	33	203691	184917	388608
EG	Egypt	????	EG34	North Sinai	???? ?????	34	205324	189947	395271
EG	Egypt	????	EG35	South Sinai	???? ?????	35	105946	53083	159029
